name;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;logHNR_sma;audspec_lengthL1norm_sma;audspecRasta_lengthL1norm_sma;pcm_RMSenergy_sma;pcm_zcr_sma;audSpec_Rfilt_sma[0];audSpec_Rfilt_sma[1];audSpec_Rfilt_sma[2];audSpec_Rfilt_sma[3];audSpec_Rfilt_sma[4];audSpec_Rfilt_sma[5];audSpec_Rfilt_sma[6];audSpec_Rfilt_sma[7];audSpec_Rfilt_sma[8];audSpec_Rfilt_sma[9];audSpec_Rfilt_sma[10];audSpec_Rfilt_sma[11];audSpec_Rfilt_sma[12];audSpec_Rfilt_sma[13];audSpec_Rfilt_sma[14];audSpec_Rfilt_sma[15];audSpec_Rfilt_sma[16];audSpec_Rfilt_sma[17];audSpec_Rfilt_sma[18];audSpec_Rfilt_sma[19];audSpec_Rfilt_sma[20];audSpec_Rfilt_sma[21];audSpec_Rfilt_sma[22];audSpec_Rfilt_sma[23];audSpec_Rfilt_sma[24];audSpec_Rfilt_sma[25];pcm_fftMag_fband250-650_sma;pcm_fftMag_fband1000-4000_sma;pcm_fftMag_spectralRollOff25.0_sma;pcm_fftMag_spectralRollOff50.0_sma;pcm_fftMag_spectralRollOff75.0_sma;pcm_fftMag_spectralRollOff90.0_sma;pcm_fftMag_spectralFlux_sma;pcm_fftMag_spectralCentroid_sma;pcm_fftMag_spectralEntropy_sma;pcm_fftMag_spectralVariance_sma;pcm_fftMag_spectralSkewness_sma;pcm_fftMag_spectralKurtosis_sma;pcm_fftMag_spectralSlope_sma;pcm_fftMag_psySharpness_sma;pcm_fftMag_spectralHarmonicity_sma;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12];mfcc_sma[13];mfcc_sma[14];F0final_sma_de;voicingFinalUnclipped_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de;logHNR_sma_de;audspec_lengthL1norm_sma_de;audspecRasta_lengthL1norm_sma_de;pcm_RMSenergy_sma_de;pcm_zcr_sma_de;audSpec_Rfilt_sma_de[0];audSpec_Rfilt_sma_de[1];audSpec_Rfilt_sma_de[2];audSpec_Rfilt_sma_de[3];audSpec_Rfilt_sma_de[4];audSpec_Rfilt_sma_de[5];audSpec_Rfilt_sma_de[6];audSpec_Rfilt_sma_de[7];audSpec_Rfilt_sma_de[8];audSpec_Rfilt_sma_de[9];audSpec_Rfilt_sma_de[10];audSpec_Rfilt_sma_de[11];audSpec_Rfilt_sma_de[12];audSpec_Rfilt_sma_de[13];audSpec_Rfilt_sma_de[14];audSpec_Rfilt_sma_de[15];audSpec_Rfilt_sma_de[16];audSpec_Rfilt_sma_de[17];audSpec_Rfilt_sma_de[18];audSpec_Rfilt_sma_de[19];audSpec_Rfilt_sma_de[20];audSpec_Rfilt_sma_de[21];audSpec_Rfilt_sma_de[22];audSpec_Rfilt_sma_de[23];audSpec_Rfilt_sma_de[24];audSpec_Rfilt_sma_de[25];pcm_fftMag_fband250-650_sma_de;pcm_fftMag_fband1000-4000_sma_de;pcm_fftMag_spectralRollOff25.0_sma_de;pcm_fftMag_spectralRollOff50.0_sma_de;pcm_fftMag_spectralRollOff75.0_sma_de;pcm_fftMag_spectralRollOff90.0_sma_de;pcm_fftMag_spectralFlux_sma_de;pcm_fftMag_spectralCentroid_sma_de;pcm_fftMag_spectralEntropy_sma_de;pcm_fftMag_spectralVariance_sma_de;pcm_fftMag_spectralSkewness_sma_de;pcm_fftMag_spectralKurtosis_sma_de;pcm_fftMag_spectralSlope_sma_de;pcm_fftMag_psySharpness_sma_de;pcm_fftMag_spectralHarmonicity_sma_de;mfcc_sma_de[1];mfcc_sma_de[2];mfcc_sma_de[3];mfcc_sma_de[4];mfcc_sma_de[5];mfcc_sma_de[6];mfcc_sma_de[7];mfcc_sma_de[8];mfcc_sma_de[9];mfcc_sma_de[10];mfcc_sma_de[11];mfcc_sma_de[12];mfcc_sma_de[13];mfcc_sma_de[14]
'03-02-02-02-01-02-02.wav';0.000000;0;0;0;0;0;-100;1.028569e-02;9.883412e-01;1.377636e-05;8.694444e-01;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;7.786884e-09;3.157367e-08;1.265625e+03;2.203125e+03;6.093750e+03;1.564062e+04;5.059984e-05;5.053035e+03;1.549524e+01;36365856;1.668213e+00;4.686845e+00;-4.890034e-09;3.350950e+00;1.985751e-08;-1.340586e+00;-9.730020e+00;-1.578862e+00;-2.508069e+00;-7.667559e+00;-9.614773e+00;-1.076857e+01;-6.625668e+00;-5.135427e+00;-4.506735e+00;-1.687156e+00;-3.031434e+00;-7.585067e+00;2.669780e+00;0;0;0;0;0;0;-1.958439e-04;0;-4.051317e-07;-1.631945e-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.625238e-10;-1.505233e-09;-4.218750e+01;8.906250e+01;3.453125e+02;2.375000e+02;2.369254e-05;1.075543e+02;3.078023e-01;1.042524e+06;-6.670801e-02;-2.135479e-01;1.457519e-10;7.651381e-02;-8.689000e-10;4.722589e-01;3.529573e-01;4.631940e-01;5.308362e-01;-1.122360e+00;-8.906767e-01;-8.971599e-01;-1.501230e+00;-6.976551e-01;6.815912e-01;9.609786e-01;2.272308e-02;6.687637e-02;3.158172e-01
'03-02-02-02-01-02-02.wav';0.010000;0;0;0;0;0;-100;1.006530e-02;9.883412e-01;1.288413e-05;8.690972e-01;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.046697e-08;3.014378e-08;1.031250e+03;2125;5.796875e+03;1.582812e+04;9.903186e-05;4.913816e+03;1.569833e+01;37007612;1.644399e+00;4.532601e+00;-4.914879e-09;3.273926e+00;1.862217e-08;2.892663e-01;-9.487998e+00;-6.373859e-01;-2.255526e+00;-9.457154e+00;-1.189845e+01;-1.460853e+01;-9.554684e+00;-6.541869e+00;-2.087328e+00;1.887082e+00;-2.435666e+00;-8.502701e+00;2.942928e+00;0;0;0;0;0;0;-3.678297e-04;0;-6.038373e-07;-4.432875e-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.960423e-11;-2.790134e-09;1.875000e+01;1.765625e+02;8.218750e+02;500;2.796290e-05;2.753573e+02;6.650821e-01;1.985842e+06;-1.266931e-01;-3.942976e-01;4.086716e-10;1.853318e-01;-1.391765e-09;3.465548e-01;4.792141e-01;5.674866e-01;1.057465e+00;-1.022403e+00;2.186966e-02;7.652276e-01;-9.787752e-01;-4.275671e-01;8.102145e-01;1.783364e+00;5.615407e-01;5.421258e-01;6.642034e-02
'03-02-02-02-01-02-02.wav';0.020000;0;0;0;0;0;-100;9.416671e-03;9.883412e-01;1.219682e-05;8.614583e-01;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.025946e-08;2.476244e-08;1.171875e+03;2.687500e+03;7.968750e+03;1.673438e+04;1.448465e-04;5.660416e+03;1.693271e+01;41257600;1.346579e+00;3.696228e+00;-4.148852e-09;3.772031e+00;1.613068e-08;2.057820e-01;-8.086244e+00;2.663698e-01;1.984072e-02;-1.238456e+01;-1.292632e+01;-1.333438e+01;-1.266731e+01;-7.920483e+00;-2.308483e+00;1.330617e+00;-3.215703e+00;-6.791869e+00;4.112293e+00;0;0;0;0;0;0;-5.001667e-04;-3.842425e-03;-4.218709e-07;-9.282416e-03;8.943081e-04;1.267713e-03;-4.789365e-03;-5.403114e-03;-6.981015e-03;-4.897797e-03;-2.648282e-03;-4.242206e-03;-1.877034e-03;-4.083872e-03;-1.014256e-02;-8.183241e-03;-1.833010e-03;-8.626056e-03;-8.722258e-03;-2.340603e-03;-5.664134e-03;-4.620528e-03;-2.821899e-03;-4.792524e-03;-4.090833e-03;-3.994823e-03;-6.424189e-04;1.199245e-03;-9.949803e-04;-8.718491e-04;-1.268838e-09;-3.980668e-09;1.156250e+02;2.843750e+02;1.371875e+03;6.921875e+02;2.224289e-05;4.574827e+02;1.273860e+00;2.709281e+06;-1.755745e-01;-5.279051e-01;6.780607e-10;2.977599e-01;-1.670083e-09;-1.733403e-01;8.402751e-01;5.984948e-01;1.335638e+00;-4.587436e-01;1.440544e+00;2.963125e+00;4.383001e-01;6.604385e-01;5.944962e-01;1.351862e+00;6.225368e-01;1.032330e+00;-3.240108e-01
'03-02-02-02-01-02-02.wav';0.030000;0;0;0;0;0;-100;8.881058e-03;9.883412e-01;1.154695e-05;8.512731e-01;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;6.648618e-09;2.102861e-08;1.406250e+03;2.843750e+03;9.265625e+03;1.759375e+04;1.432910e-04;6.126131e+03;1.810192e+01;43849192;1.195564e+00;3.210666e+00;-3.217267e-09;4.067069e+00;1.476210e-08;-3.809961e-01;-8.155837e+00;3.359549e-01;1.515301e+00;-1.042107e+01;-7.849651e+00;-5.659519e+00;-8.498723e+00;-5.880735e+00;-1.554789e+00;5.720778e+00;-1.315964e-01;-5.271038e+00;2.280626e+00;0;0;0;0;0;0;-1.162412e-04;-5.156362e-03;1.286938e-07;-1.318288e-02;3.605369e-03;5.559501e-03;-1.299201e-02;-1.390720e-02;-1.925250e-02;-1.086585e-02;-1.973963e-03;-7.525516e-03;-5.437726e-03;-4.126620e-03;-1.922846e-02;-1.496615e-02;1.479149e-03;-2.103761e-02;-1.629202e-02;6.001425e-03;-6.111920e-03;-6.448519e-03;2.957463e-04;-2.958620e-03;-2.880931e-03;-1.205575e-03;4.041803e-03;1.192243e-02;8.477747e-04;-6.066561e-04;-1.810150e-09;7.157842e-10;1.421875e+02;1.734375e+02;8.625000e+02;3.015625e+02;1.471909e-05;2.700487e+02;7.582699e-01;1.175298e+06;-7.097290e-02;-1.771080e-01;1.215844e-10;1.680635e-01;5.758247e-10;-5.820646e-01;5.118110e-01;5.383400e-01;1.128947e+00;1.112680e+00;2.544477e+00;4.130493e+00;1.663980e+00;2.205657e+00;1.186999e+00;1.188102e+00;-2.342815e-01;9.574046e-01;-5.971056e-01
'03-02-02-02-01-02-02.wav';0.040000;0;0;0;0;0;-100;8.376983e-03;9.691290e-01;1.233560e-05;8.319444e-01;1.336877e-01;2.783870e-01;3.955811e-01;5.274317e-01;6.348239e-01;7.414072e-01;8.337870e-01;8.966182e-01;9.728643e-01;1.022680e+00;1.051386e+00;1.119154e+00;1.207966e+00;1.229707e+00;1.282600e+00;1.363878e+00;1.389736e+00;1.425378e+00;1.443768e+00;1.408741e+00;1.338292e+00;1.212366e+00;1.065943e+00;9.019238e-01;7.292735e-01;5.899718e-01;3.351871e-09;1.622792e-08;1.656250e+03;3.265625e+03;1.121875e+04;1.821875e+04;1.396848e-04;6.734291e+03;2.066275e+01;46491472;1.014758e+00;2.708287e+00;-2.348537e-09;4.443178e+00;1.343713e-08;-1.872157e+00;-6.194725e+00;9.269411e-01;2.284708e+00;-9.479318e+00;-4.436449e+00;-4.274492e-01;-4.962148e+00;-2.163802e+00;-1.800524e+00;3.155304e+00;-1.070785e+00;-4.039248e+00;1.380877e+00;0;0;0;0;0;0;3.659373e-04;2.672923e-03;7.315866e-07;-1.483795e-02;8.567663e-03;1.261540e-02;-1.905356e-02;-1.869721e-02;-2.534712e-02;-4.752082e-03;6.814301e-04;-7.476300e-03;-6.350166e-03;7.826614e-03;-1.265930e-02;-1.024064e-02;1.344696e-02;-2.909217e-02;-1.629195e-02;2.637501e-02;9.479320e-03;7.189238e-03;2.141209e-02;1.793047e-02;1.555378e-02;1.901374e-02;1.729987e-02;3.418376e-02;5.846494e-03;2.035487e-03;-1.706401e-10;4.950965e-09;0;-7.812500e+00;-2.937500e+02;-3.343750e+02;1.397309e-05;-1.341189e+02;-1.829975e-01;-1.341392e+06;8.472489e-02;3.106689e-01;-6.375654e-10;-9.807670e-02;3.314374e-09;-4.280993e-01;4.740124e-01;9.041667e-01;2.068615e-01;2.118727e+00;1.605645e+00;1.617698e+00;7.894142e-01;2.993213e+00;2.031318e+00;1.283176e+00;-2.835148e-01;5.867306e-01;-6.613632e-01
'03-02-02-02-01-02-02.wav';0.050000;0;0;0;0;0;-100;1.000394e-02;9.721654e-01;1.345821e-05;8.179398e-01;1.450073e-01;2.966766e-01;3.665413e-01;4.984191e-01;5.909190e-01;7.238114e-01;8.437793e-01;8.908072e-01;9.597535e-01;1.032676e+00;1.031313e+00;1.105698e+00;1.229109e+00;1.189214e+00;1.266557e+00;1.411440e+00;1.401657e+00;1.427790e+00;1.466411e+00;1.429892e+00;1.354569e+00;1.236299e+00;1.090970e+00;9.525416e-01;7.409747e-01;5.934774e-01;4.870017e-09;3.798997e-08;1500;2.703125e+03;8.484375e+03;1.659375e+04;1.752082e-04;5.727123e+03;1.762466e+01;40267164;1.455445e+00;4.141031e+00;-5.207115e-09;3.778670e+00;2.284807e-08;-1.582088e+00;-7.874702e+00;1.724028e+00;2.256778e+00;-5.346375e+00;-3.420996e+00;-4.095348e-01;-5.087362e+00;1.608074e+00;3.593685e+00;6.915247e+00;-4.679533e+00;-5.091988e+00;1.323108e+00;0;0;0;0;0;0;8.342502e-04;2.527457e-02;1.202337e-06;-1.578703e-02;1.333247e-02;1.606471e-02;-8.769259e-03;-3.269032e-03;-8.249229e-03;1.892028e-02;9.463191e-03;8.187806e-03;-3.059405e-03;2.700070e-02;2.452371e-02;2.132418e-02;3.878307e-02;-1.634437e-02;-1.509297e-03;5.180647e-02;5.339510e-02;4.544707e-02;5.986472e-02;6.370367e-02;6.064533e-02;5.805134e-02;3.921038e-02;6.464993e-02;1.644634e-02;7.519639e-03;3.029285e-09;8.024895e-09;-1.718750e+02;-1.609375e+02;-1.242188e+03;-7.906250e+02;2.167579e-05;-4.587506e+02;-1.672388e+00;-3.059743e+06;1.877062e-01;6.320230e-01;-1.445636e-09;-3.037348e-01;6.231769e-09;-5.393590e-02;3.276377e-01;8.914730e-01;-8.203684e-01;1.070677e+00;-1.230746e+00;-1.719390e+00;-1.177632e+00;2.118821e+00;1.215492e+00;-1.330456e-01;-5.279324e-01;1.476707e+00;1.943627e-01
'03-02-02-02-01-02-02.wav';0.060000;0;0;0;0;0;-100;1.068492e-02;1.009794e+00;1.489912e-05;8.039352e-01;1.641590e-01;3.228113e-01;3.507534e-01;4.889754e-01;5.823983e-01;7.631781e-01;8.520601e-01;8.939587e-01;9.617467e-01;1.087444e+00;1.074196e+00;1.136053e+00;1.278376e+00;1.169187e+00;1.274579e+00;1.489527e+00;1.473653e+00;1.494773e+00;1.560671e+00;1.523762e+00;1.438604e+00;1.325429e+00;1.144747e+00;1.038539e+00;7.601177e-01;6.049353e-01;1.029556e-08;4.103659e-08;1125;2.718750e+03;6.890625e+03;1.556250e+04;1.987534e-04;5.189326e+03;1.625636e+01;36341652;1.640263e+00;4.784390e+00;-6.341756e-09;3.425847e+00;2.865956e-08;-1.334169e+00;-5.856749e+00;4.093167e+00;6.834097e-01;-4.328270e+00;-7.112423e+00;-7.870881e+00;-1.042592e+01;3.301179e+00;5.273872e+00;7.149263e+00;-2.359309e+00;-3.947741e+00;1.284236e+00;0;0;0;0;0;0;9.879657e-04;5.758967e-02;1.349328e-06;-1.653934e-02;1.550480e-02;1.180854e-02;2.134201e-02;3.746960e-02;3.474361e-02;5.464052e-02;2.992317e-02;4.501577e-02;1.304602e-02;4.363247e-02;7.969449e-02;7.459231e-02;7.950626e-02;2.290314e-02;2.617735e-02;6.741314e-02;1.120244e-01;9.649362e-02;1.017060e-01;1.233855e-01;1.232581e-01;1.019438e-01;5.975620e-02;8.199105e-02;2.669510e-02;1.266433e-02;5.996306e-09;7.800173e-09;-2.812500e+02;-2.703125e+02;-1.592188e+03;-1.068750e+03;2.090954e-05;-5.998587e+02;-2.416512e+00;-3.611553e+06;2.224658e-01;7.800255e-01;-1.947973e-09;-3.876274e-01;8.547158e-09;5.741813e-01;4.379592e-02;6.396632e-01;-1.901642e+00;3.267898e-02;-3.115955e+00;-3.225341e+00;-1.068902e+00;2.730432e-01;-5.243257e-01;-1.559279e+00;5.625687e-01;2.392327e+00;9.067348e-01
'03-02-02-02-01-02-02.wav';0.070000;0;0;0;0;0;-100;1.189834e-02;1.094382e+00;1.627687e-05;7.863426e-01;1.806429e-01;3.301598e-01;3.980955e-01;5.573303e-01;6.546956e-01;8.496121e-01;8.852078e-01;9.600980e-01;9.725113e-01;1.145721e+00;1.213313e+00;1.258241e+00;1.375841e+00;1.221375e+00;1.322676e+00;1.571789e+00;1.643074e+00;1.641019e+00;1.698750e+00;1.693712e+00;1.611817e+00;1.466065e+00;1.225805e+00;1.150869e+00;8.010580e-01;6.244475e-01;1.832320e-08;4.874875e-08;8.125000e+02;2.312500e+03;5.218750e+03;1.496875e+04;2.221356e-04;4.604861e+03;1.194318e+01;33625388;1.821342e+00;5.332730e+00;-8.448840e-09;3.057060e+00;3.830973e-08;-9.196694e-01;-6.686636e+00;3.210207e+00;-1.785891e+00;-7.643211e+00;-1.266539e+01;-1.053475e+01;-1.165500e+01;1.980879e+00;9.854714e-01;3.058570e+00;-2.126996e+00;2.066742e+00;3.300760e+00;0;0;0;0;0;0;6.669945e-04;7.593180e-02;1.300996e-06;-1.935185e-02;1.339700e-02;1.604068e-03;5.507236e-02;8.049450e-02;7.033147e-02;7.099147e-02;6.013213e-02;9.058721e-02;3.412969e-02;3.235570e-02;1.017101e-01;1.103348e-01;1.239250e-01;6.423308e-02;3.790121e-02;5.445969e-02;1.414541e-01;1.207706e-01;1.105441e-01;1.484069e-01;1.659532e-01;1.185179e-01;6.123086e-02;6.543247e-02;2.865868e-02;1.159760e-02;5.276014e-09;3.769443e-09;-1.968750e+02;-2.171875e+02;-9.843750e+02;-900;1.318170e-05;-4.066457e+02;-1.716179e+00;-2494671;1.432691e-01;5.621647e-01;-1.506384e-09;-2.559969e-01;6.994790e-09;8.250107e-01;-8.711548e-02;2.184593e-01;-1.734604e+00;-5.177182e-01;-3.111979e+00;-1.653077e+00;8.643250e-01;-1.135178e+00;-3.175753e+00;-4.549506e+00;6.189580e-01;2.817580e+00;1.082898e+00
'03-02-02-02-01-02-02.wav';0.080000;0;0;0;0;0;-100;1.236961e-02;1.195969e+00;1.767291e-05;7.650463e-01;1.933939e-01;3.206880e-01;4.865141e-01;6.853241e-01;7.766536e-01;9.517094e-01;9.626886e-01;1.087052e+00;1.031716e+00;1.184320e+00;1.358859e+00;1.415844e+00;1.532131e+00;1.328142e+00;1.385428e+00;1.620769e+00;1.829150e+00;1.801232e+00;1.836129e+00;1.893759e+00;1.825958e+00;1.607202e+00;1.297306e+00;1.212715e+00;8.327073e-01;6.378084e-01;2.660681e-08;4.984939e-08;5.937500e+02;2.109375e+03;4.890625e+03;1.368750e+04;2.207687e-04;4.296128e+03;1.142093e+01;31754594;1.944139e+00;6.012566e+00;-1.046754e-08;2.865846e+00;4.844209e-08;6.675407e-01;-6.569778e+00;3.382168e+00;-5.202165e+00;-8.167504e+00;-1.539402e+01;-1.149155e+01;-7.022842e+00;-9.849882e-01;-3.118045e+00;-2.712753e+00;4.657907e-01;4.343020e+00;4.925725e+00;0;0;0;0;0;0;5.282977e-04;7.466985e-02;1.145601e-06;-2.096065e-02;9.070756e-03;-2.890995e-03;7.169101e-02;9.603331e-02;7.159207e-02;5.661521e-02;8.794704e-02;1.252612e-01;5.712738e-02;1.229709e-02;8.410358e-02;1.213944e-01;1.621369e-01;9.283795e-02;4.083366e-02;3.499228e-02;1.249079e-01;1.057501e-01;8.811715e-02;1.287119e-01;1.663134e-01;1.086863e-01;4.611282e-02;2.379479e-02;2.299399e-02;4.983985e-03;2.171292e-09;4.473374e-09;-1.250000e+01;-1.578125e+02;-5.593750e+02;-8.281250e+02;7.603862e-06;-2.543177e+02;-1.047621e+00;-2.004839e+06;1.086575e-01;4.723091e-01;-1.192652e-09;-1.570533e-01;4.819336e-09;7.176862e-01;-6.469685e-01;8.587978e-02;-4.549914e-01;9.682468e-01;-1.158075e+00;8.035792e-01;2.074440e+00;-1.300763e+00;-2.896816e+00;-4.018533e+00;3.624238e-01;1.186366e+00;2.631185e-01
'03-02-02-02-01-02-02.wav';0.090000;0;0;0;0;0;-100;1.249657e-02;1.258737e+00;1.857630e-05;7.406250e-01;1.973748e-01;3.057586e-01;5.740228e-01;8.027172e-01;8.454487e-01;9.845031e-01;1.089126e+00;1.247197e+00;1.095417e+00;1.146017e+00;1.397532e+00;1.517477e+00;1.721857e+00;1.430902e+00;1.400639e+00;1.618117e+00;1.931179e+00;1.878414e+00;1.881403e+00;1.986928e+00;1.990657e+00;1.688002e+00;1.320845e+00;1.192616e+00;8.479733e-01;6.350289e-01;2.309446e-08;5.243078e-08;7.812500e+02;1.921875e+03;4.562500e+03;1.303125e+04;2.301090e-04;4.140493e+03;1.146148e+01;30087338;2.019853e+00;6.337767e+00;-1.067614e-08;2.778686e+00;4.793075e-08;1.542111e+00;-7.953765e+00;3.171824e+00;-3.473454e+00;-6.015348e+00;-1.484009e+01;-6.864589e+00;-2.467275e+00;-1.924731e+00;-8.089124e+00;-1.090128e+01;-2.997293e+00;4.850531e+00;4.916853e+00;0;0;0;0;0;0;4.243451e-04;5.635121e-02;1.196779e-06;-2.187499e-02;5.937886e-03;6.716055e-03;6.086620e-02;6.858186e-02;3.951470e-02;2.827736e-02;8.497272e-02;1.164301e-01;7.201358e-02;3.918362e-03;3.826566e-02;1.027716e-01;1.655183e-01;9.422673e-02;3.555094e-02;2.769216e-02;7.599344e-02;7.101370e-02;5.793528e-02;7.013705e-02;1.290217e-01;8.733007e-02;2.705727e-02;-1.803165e-02;1.480683e-02;-1.386684e-03;7.666049e-10;5.720927e-09;9.218750e+01;-4.687500e+00;-200;-7.390625e+02;6.002311e-06;-1.031491e+02;-1.948543e-01;-1.652285e+06;7.638836e-02;4.145267e-01;-1.024978e-09;-6.517048e-02;2.755302e-09;2.717691e-01;-2.692303e-01;6.588739e-01;8.029207e-01;1.594432e+00;5.400132e-01;1.523752e+00;1.109925e+00;-3.805150e-01;-1.010975e+00;-2.099460e+00;6.262594e-01;-6.521832e-01;-1.257416e+00
